,CR1000X,3875,CR1000X.Std.02.00,CPU:NipikaV2.CR1X,54039,Table1,,,,,,,,,,,
TIMESTAMP,BattV_Avg,BP_hPa_Avg,AirTC_Avg,AirTC_Std,RH,T109_C_1_Avg,T109_C_2_Avg,T109_C_3_Avg,WS_ms_Avg,WS_ms_Std,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,DT_W_Avg,TCDT_W_Avg,DBTCDT_W
UTC,Volts,hPa,Deg C,Deg C,%,Deg C,Deg C,Deg C,meters/second,meters/second,degrees,meters/second,Deg,Deg,cm,cm,cm
,Avg,Avg,Avg,Std,Smp,Avg,Avg,Avg,Avg,Std,Smp,WVc,WVc,WVc,Avg,Avg,Smp
2018-09-21 22:45,14.16,892.1404,10.45,0.016,78.1,9.86,10.51,10.12,0.587,0.16,191.8,0.587,189.3,24.27,212.3,216.4,-4.573
2018-09-21 23:00,14.16,892.13,10.58,0.06,77.32,9.89,10.69,10.32,0.9,0.351,187.1,0.9,193.9,28.4,212.3,216.4,-4.719
2018-09-21 23:15,14.17,891.9855,10.66,0.039,76.98,9.94,10.85,10.56,0.853,0.455,210.1,0.853,189.1,25.43,212.2,216.3,-4.432
2018-09-21 23:30,14.17,891.9855,10.68,0.023,76.22,9.98,10.86,10.63,0.712,0.396,190,0.712,204.9,29.9,212.1,216.2,-4.495
2018-09-21 23:45,13.91,891.9855,10.67,0.03,75.78,10.02,10.72,10.62,0.373,0.22,177.5,0.373,193.3,24.65,212.3,216.4,-4.63
2018-09-22 0:00,13.5,891.9699,10.6,0.015,76.21,10.06,10.54,10.46,0.334,0.352,238,0.334,193.4,30.93,212.3,216.4,-4.644
2018-09-22 0:15,13.39,891.7513,10.6,0.019,77.24,10.1,10.38,10.35,0.027,0.053,178.6,0.027,306,60.38,212.3,216.4,-4.487
2018-09-22 0:30,13.36,891.7513,10.45,0.061,80.6,10.14,10.08,9.98,0.019,0.044,133.6,0.019,191.4,18.09,212.3,216.4,-4.664
2018-09-22 0:45,13.32,891.7513,10.12,0.111,85.6,10.17,9.5,9.42,0.033,0.076,275,0.033,104.6,14.65,212,215.9,-3.864
2018-09-22 1:00,13.24,891.7119,9.74,0.087,90.3,10.2,9.25,9.17,0,0,275.2,0,0,0,211.9,215.6,-3.859
2018-09-22 1:15,13.19,891.1594,9.44,0.084,93.7,10.22,8.99,8.91,0,0,275.3,0,0,0,212.2,215.8,-3.815
2018-09-22 1:30,13.17,891.1594,9.1,0.092,95,10.24,8.59,8.55,0,0,275.2,0,0,0,211.9,215.4,-4.079
2018-09-22 1:45,13.15,891.1594,8.86,0.081,96.5,10.26,8.36,8.33,0,0,275.3,0,0,0,212.3,215.7,-3.68
2018-09-22 2:00,13.13,891.1436,8.66,0.031,96.8,10.28,8.2,8.18,0.002,0.008,56.42,0.002,56.51,0,212.4,215.7,-3.849
2018-09-22 2:15,13.12,890.9221,8.49,0.057,97.9,10.29,8.04,8.02,0,0,56.43,0,0,0,212.4,215.7,-4.319
2018-09-22 2:30,13.12,890.9221,8.38,0.016,98.2,10.3,8.01,8.02,0.064,0.157,23.46,0.064,26.79,2.129,212.2,215.4,-3.383
2018-09-22 2:45,13.12,890.9221,8.34,0.027,98.5,10.3,8,7.994,0,0,23.13,0,0,0,212.1,215.3,-4.009
2018-09-22 3:00,13.1,890.9096,8.25,0.02,98.6,10.3,7.995,7.971,0,0,297,0,0,0,212.1,215.3,-3.436
2018-09-22 3:15,13.09,890.7352,8.2,0.039,98.6,10.3,7.874,7.866,0,0,316.7,0,0,0,212,215.2,-3.433
2018-09-22 3:30,13.1,890.7352,8.08,0.033,98.8,10.3,7.724,7.721,0,0,317.1,0,0,0,212.1,215.2,-3.419
2018-09-22 3:45,13.09,890.7352,7.976,0.04,99,10.29,7.646,7.64,0,0,316.7,0,0,0,212.1,215.2,-3.378
2018-09-22 4:00,13.08,890.6885,7.879,0.019,99.2,10.28,7.599,7.591,0,0,40.86,0,0,0,212,215,-3.125
2018-09-22 4:15,13.07,890.0361,7.841,0.019,99.3,10.27,7.519,7.511,0,0,40.89,0,0,0,211.9,214.9,-3.375
