TIMESTAMP,BattV_Avg,BP_hPa_Avg,AirTC_Avg,AirTC_Std,RH,T109_C_1_Avg,T109_C_2_Avg,T109_C_3_Avg,WS_ms_Avg,WS_ms_Std,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,DT_W_Avg,TCDT_W_Avg,DBTCDT_W,,,,,,,,
UTC,Volts,hPa,Deg C,Deg C,%,Deg C,Deg C,Deg C,meters/second,meters/second,degrees,meters/second,Deg,Deg,cm,cm,cm,,,,,,,,
,Avg,Avg,Avg,Std,Smp,Avg,Avg,Avg,Avg,Std,Smp,WVc,WVc,WVc,Avg,Avg,Smp,,,,,,,,
2019-05-06 20:00,13.71,NA,14.05,0.174,30.04,7.479,21.31,20.31,0.822,0.571,121.1,0.822,40.51,68.52,166.8,171,51.52,,,,,,,,
2019-05-06 20:05,13.72,891.4257,14.03,0.107,29.98,7.529,20.93,19.74,1.108,0.643,300.8,1.108,239.2,39.73,155.9,159.9,52.1,,,,,,,,
2019-05-06 20:10,13.71,891.4257,14.9,0.721,29.72,7.579,21.7,20.69,1.107,0.728,52.61,1.107,339.4,59.98,155.7,159.9,51.52,,,,,,,,
2019-05-06 20:15,13.72,891.4257,14.92,0.164,28.42,7.629,20.99,20,1.337,0.327,330.4,1.337,325.2,20.26,177.3,182.1,-3.732,,,,,,,,
2019-05-06 20:20,13.73,891.4257,14.38,0.087,29.47,7.679,18.61,17.98,0.758,0.328,95.1,0.758,350,82.9,155.7,159.7,52.17,,,,,,,,
2019-05-06 20:25,13.77,891.4257,14.23,0.146,32.12,7.729,17.23,16.68,0.648,0.192,335.6,0.648,10.02,29.08,166.3,170.6,-2.913,,,,,,,,
2019-05-06 20:30,13.79,891.4257,14.19,0.127,29.48,7.779,16.69,16.29,0.362,0.228,243.1,0.362,308.7,64.07,166.8,171.1,51.67,,,,,,,,
2019-05-06 20:35,13.81,891.4257,13.96,0.05,30.89,7.83,17.09,16.67,0.498,0.455,13.32,0.498,270.6,76.03,155.8,159.7,51.95,,,,,,,,
2019-05-06 20:40,13.84,891.4257,13.88,0.111,29.89,7.88,16.66,16.21,0.759,0.368,248.2,0.759,279,25.32,156,159.9,51.95,,,,,,,,
2019-05-06 20:45,13.85,891.4257,14.21,0.41,27.99,7.932,19.08,18.45,0.714,0.34,224.7,0.714,198.5,41.18,155.9,159.9,52.04,,,,,,,,
2019-05-06 20:50,13.81,891.4257,15.57,0.156,26.36,7.984,21.33,20.5,0.908,0.548,354.4,0.908,135,86,166.5,171.1,-4.15,,,,,,,,
